,,,,,Total Root Area (pixels²) at 0.3 confidence - Yolo Model v41,,,,,,,
Type,Plot ID,Genotype,Tube ID,# of Depths,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,"The model doesn't really overestimate, so there is usually at least X amount of pixels in the depth"
HPI,13_19,PI 594354,T632,,,,,,,,,
HPI,13_20,PI 629059,T633,,,,,,,,,
HPI,13_21,PI 601721,T634,7,7015,57919,44062,56071,44103,46010,26148,
HPI,13_22,PI 595702,T635,7,39510,44483,32845,31486,52717,52806,23992,
HPI,13_23,PI 534104,T636,7,26249,49733,102332,85402,34161,18142,12448,
HPI,13_24,PI 601553,T637,7,8463,45423,97117,147329,116407,71869,44113,
HPI,13_25,PI 533989,T638,7,20751,44113,127869,232502,119144,59254,16085,
HPI,13_26,PI 576352,T639,6,148638,121795,206332,143312,21267,NA - bad pic,,
HPI,13_27,PI 655993,T640,7,16742,62622,91590,84762,151614,94492,43935,
HPI,13_28,PI 656090,T641,5,31672,24144,119140,198660,78504,45237,,
HPI,13_29,PI 533758,T642,7,46438,11158,59056,81712,38163,94948,85238,
HPI,13_30,PI 576345,T643,,,,,,,,,
HPI,13_31,PHCTVA006,T644,7,16260,31641,19297,1800,15308,14584,NA - bad pic,
HPI,13_32,PI 533948,T645,,,,,,,,,
HPI,13_33,PI 533954,T646,7,32377,19784,52117,16991,19536,29038,42631,
HPI,13_34,PI 655991,T647,,,,,,,,,
HPI,13_35,PI 533955,T648,7,37338,61739,52265,10092,19425,48163,25622,
HPI,13_37,PI 24969,T649,7,33705,34619,50582,26767,16198,10406,14191,
HPI,13_38,PI 596332,T650,7,19456,13862,56816,34058,20196,22512,9448,
HPI,13_39,A.506xR.15,T651,7,,,,,,,,
HPI,13_40,PI 533821,T652,7,,,,,,,,
HPI,13_42,PI 655998,T653,7,,,,,,,,
HPI,13_43,PHCTVA007,T654,7,,,,,,,,
HPI,13_44,PI 655990,T655,,,,,,,,,
HPI,13_45,G234,T656,,,,,,,,,
HPI,13_46,PI 534112,T657,,,,,,,,,
HPI,13_47,PI 655975,T658,7,,,,,,,,
HPI,13_48,PI 597967,T659,7,,,,,,,,
HPI,13_49,PI 561071,T660,7,,,,,,,,
HPI,13_50,PI 656013,T661,7,,,,,,,,
HPI,13_52,PI 576340,T662,7,,,,,,,,
HPI,13_53,PI 534115,T663,7,,,,,,,,
HPI,13_54,PI 542718,T664,7,,,,,,,,
HPI,13_55,PI 656005,T665,7,,,,,,,,
HPI,13_56,PI 533766,T666,7,,,,,,,,
HPI,13_57,PI 156178,T667,7,,,,,,,,
HPI,13_58,PI 655996,T668,7,,,,,,,,
HPI,13_59,PI 595744,T669,7,,,,,,,,
HPI,13_60,PI 533799,T670,7,96619,86817,147495,190029,116712,132171,46625,
HPI,13_61,DKS51-01,T671,6,60613,124039,102513,138969,175274,188283,,
HPI,13_62,PI 642998,T672,7,36559,78487,126401,11821,76429,31116,45391,
HPI,13_63,PI 555457,T673,7,57823,110618,280804,103668,76505,74205,50374,
HPI,13_64,Sweetleaf II,T674,7,90781,104683,138909,129330,123109,165973,228920,
HPI,13_65,PI 533956,T675,6,90003,210112,217550,93653,NA,116877,,
HPI,13_66,PI 554654,T676,7,44757,47466,104274,71246,79123,94615,75456,
HPI,13_67,PI 595714,T677,6,16718,67317,103421,125294,136619,225571,,
HPI,13_69,PI 534108,T678,7,7417,23948,45369,26277,11215,38175,114126,
HPI,13_70,G8,T679,6,29805,62559,84145,97358,102630,80710,,
HPI,13_72,PI 534145,T680,6,23659,83566,150910,219781,99529,93481,,
HPI,13_73,PI 601557,T681,7,21522,34447,30293,32177,56131,28870,59083,
HPI,13_75,PI 597961,T682,7,95425,135886,193987,170321,50187,101141,53437,
HPI,13_76,PI 576364,T683,7,64561,55754,44575,20052,50819,220653,173623,
HPI,13_77,PI 576393,T684,7,57665,72533,172675,97380,62546,123025,104283,
HPI,13_78,PI 656000,T685,7,35883,88167,336018,294491,321878,406222,207427,
HPI,13_79,PHCTVA001,T686,7,80691,48720,46363,42651,43106,112138,40701,
HPI,13_80,PI 595739,T687,7,32413,50563,111686,122481,112761,159908,169232,
HPI,13_81,PI 533938,T688,7,30723,65423,192349,84572,128276,169452,112064,
HPI,13_82,PI 655972,T689,5,101293,0,311189,167241,171673,,,
HPI,13_83,PI 554648,T690,7,20968,24183,41521,33528,26029,23020,21091,
HPI,13_85,PI 656036,T691,7,34718,65545,93294,114018,115598,139428,213533,
HPI,13_86,PI 533915,T692,7,,,,,,,,
HPI,13_87,PI 543247,T693,7,,,,,,,,
HPI,13_88,ADV G2165,T694,7,,,,,,,,
HPI,13_89,PI 533863,T695,7,,,,,,,,
HPI,13_90,PI 576422,T696,7,,,,,,,,
HPI,13_92,PI 576375,T697,7,63664,77883,120756,149795,229964,295420,200518,
HPI,13_93,PI 566819,T698,7,59840,91823,120243,184050,186890,54031,76797,
HPI,13_94,Nutricane II,T699,7,68596,132497,238667,184013,38132,48060,77791,
HPI,13_95,PI 656055,T700,7,,,,,,,,"in folder ""08292024_PM_300dpi_cam2' they were mislabeled as T699. All T699 in this folder are for T700."
HPI,13_96,PI 597966,T701,7,23681,23821,39738,57296,54648,95943,84675,
HPI,13_97,PI 533833,T702,7,72612,116734,174523,210463,197498,155713,135396,
HPI,13_98,PI 576437,T703,7,79031,174064,303681,243108,186236,52231,105976,
HPI,13_99,PI 533752,T704,4,169687,165500,223263,131595,,,,
HPI,13_100,PI 533903,T705,5,64347,208474,227621,75300,104032,,,
HPI,13_101,PI 576348,T706,6,55284,102124,152011,65597,27539,24272,,
HPI,13_102,DKS44-07,T707,7,35790,96520,204118,79737,51668,55280,85593,
HPI,13_103,PI 533919,T708,7,63900,137176,184517,82245,90171,203948,260617,
HPI,13_104,PI 576425,T709,7,37770,92131,184607,77701,43596,43013,79568,
HPI,13_105,PI 534105,T710,7,38539,50088,171218,141419,96934,191237,119009,
HPI,13_106,PI 576373,T711,7,31658,34600,113776,251405,89946,180832,59601,
HPI,13_107,PI 534099,T712,7,38298,67720,107464,108545,118433,168222,149821,
HPI,13_109,PI 533976,T713,7,88874,61314,61985,40464,55885,20572,29907,
HPI,13_110,PHCTVA004,T714,7,27341,43180,128060,102410,157306,0,63220,
HPI,13_111,PI 656052,T715,7,15182,54992,12856,48330,98582,90356,11354,
HPI,13_112,PI 656111,T716,7,47390,92759,251101,274883,256065,219474,145284,
HPI,13_113,F430,T717,7,67068,109950,162971,122775,114404,58267,90018,
HPI,13_114,PI 552856,T718,7,56960,119382,111011,68321,31271,42796,62818,
HPI,13_116,PI 595718,T719,7,13286,104270,211195,244490,114818,132215,81751,
HPI,13_117,PI 656065,T720,7,40013,66230,209371,270530,270530,91839,50214,
HPI,13_118,PI 533841,T721,7,22785,69019,209242,209242,87037,88608,83548,
HPI,13_119,PI 651496,T722,7,19730,42271,102636,182831,133240,106885,23708,
HPI,13_120,PI 655978,T723,7,42411,91453,135333,255713,395565,146170,175370,
HPI,13_121,PI 533961,T724,7,38851,50247,66201,79633,68301,46006,77241,
HPI,13_122,PI 576435,T725,7,31551,121036,133300,109376,63050,147556,62904,
HPI,13_123,PI 659694,T726,7,97846,133225,154531,186126,150050,125052,135115,
HPI,13_124,PI 562623,T727,7,103707,52380,117609,153866,216086,192054,126178,
HPI,13_125,SP7715,T728,7,10595,117732,152508,163519,118923,92813,51861,
HPI,13_126,PI 659696,T729,7,54747,66635,189401,207191,133026,162456,128879,
HPI,13_127,PI 595740,T730,6,22411,45392,134989,129700,268298,313189,,
HPI,13_128,PI 601756,T731,7,46771,43044,38857,41946,33712,55209,68775,
HPI,13_129,PI 533845,T732,7,71881,128475,210719,261284,158386,200980,34989,
HPI,13_130,DKS45-60,T733,6,69362,42249,182912,281269,341606,505276,,
HPI,13_131,PI 656025,T734,7,18260,52341,68749,129508,101418,46514,6645,
HPI,13_133,PI 533750,T735,7,16768,30366,35213,12910,9729,66121,36243,
HPI,13_134,PI 576387,T736,7,74167,132302,209660,151276,44060,82243,52927,
HPI,13_135,PI 629034,T737,6,98960,132388,193499,223460,181988,190926,,
HPI,13_136,PI 533939,T738,7,71022,72882,96106,225660,140224,73834,90875,
HPI,13_137,PI 601415,T739,7,74565,162848,171366,144103,81738,53229,10090,
HPI,13_138,PI 554646,T740,7,48503,103328,107140,119060,29472,105441,150916,
HPI,13_139,PI 576394,T741,7,121230,169497,179402,218476,155389,148608,137008,
HPI,13_140,PI 513676,T742,7,126647,117328,101334,113754,41433,82360,223901,
HPI,13_141,PI 533991,T743,7,22347,37229,302150,321356,96773,138096,143001,
HPI,13_142,PI 655994,T744,7,34978,13468,34221,85382,233152,155376,170880,
HPI,13_143,PI 601717,T745,7,71129,134371,209899,226648,307920,257072,167785,
HPI,13_144,PI 656037,T746,7,52194,52084,91036,83644,128162,153514,23736,
HPI,13_146,PI 576359,T747,7,27474,83727,225682,178060,56918,126429,226611,
HPI,13_147,PI 656106,T748,7,2842,8829,82281,29319,11080,47687,18159,
HPI,13_148,PI 534054,T749,7,36020,65278,152769,129229,185347,179367,116067,
HPI,13_149,PI 655976,T750,7,42419,90976,62127,67623,86992,9904,15489,
HPI,13_150,PI 660563,T751,7,148451,44577,62915,48655,13625,29174,32965,
HPI,13_151,PI 642793,T752,7,25217,74385,32935,5707,1529,9017,53426,
HPI,13_152,A.543xR.46,T753,7,8159,28794,40835,34011,56693,22236,78147,
HPI,13_153,PI 534123,T754,7,0,50146,103404,26697,36829,23910,19714,
HPI,13_154,PI 597951,T755,7,19777,128757,208616,116716,106298,108537,124152,
HPI,13_155,PI 656046,T756,7,74608,52862,62612,163867,130042,161121,80825,
HPI,15_76,PI 601816,T757,7,30940,98447,78025,15520,113265,310325,169465,
HPI,15_77,PI 596567,T758,7,197874,158872,42644,103589,162547,129117,144889,
HPI,15_78,PI 533794,T759,7,33484,57990,56032,53848,69850,63105,60244,
HPI,15_79,PI 656059,T760,7,40602,48520,40446,41519,28639,92318,154680,
HPI,15_80,PI 656014,T761,7,101087,133385,142933,83178,130571,103107,50533,
