Plot ID,Tube ID,Genotype
16_21,T849,PI 561472
16_22,T850,A.506xR.54
16_23,T851,PI 533972
16_24,T852,PI 561072
16_25,T853,PI 656093
16_26,T854,PI 534163
16_27,T855,PI 656070
16_28,T856,PI 656012
16_29,T857,PI 533924
16_30,T858,PI 533965
16_31,T859,PI 534127
16_33,T860,PI 656039
16_34,T861,PI 655988
16_35,T862,S72
16_60,T863,PI 595745 & PI 601415 & PI 576364
16_61,T864,PI 642992 & PI 540816 & PI 609456
16_62,T865,PI 655982 & PI 533980 & PI 601415
16_63,T866,PI 534123  & PI 597980 & PI 642992
16_64,T867,PI 576366 & PI 576393 & PI 597980 
16_65,T868,PI 642992 & PI 595745 & PI 534123
16_66,T869,PI 540816 & PI 655982 & PI 601415
16_67,T870,PI 576366 & PI 534105 & PI 576364
16_68,T871,PI 576393 & PI 540816 & PI 534123
16_69,T872,PI 597980 & PI 642992 & PI 595745
16_70,T873,PI 609456 & PI 533769 & PI 533980
16_71,T874,PI 595745 & PI 655982 & PI 533980
33_1,T476,DKS44-07
33_2,T475,W7876RIB
33_3,T474,SP7715
33_4,T473,DKS44-07
33_5,T472,W7876RIB
33_6,T471,SP7715
34_1,T482,DKS44-07
34_2,T481,W7876RIB
34_3,T480,SP7715
34_4,T479,W7876RIB
34_5,T478,DKS44-07
34_6,T477,SP7715
35_1,T488,DKS44-07
35_2,T487,W7876RIB
35_3,T486,SP7715
35_4,T485,DKS44-07
35_5,T484,W7876RIB
35_6,T483,SP7715
36_1,T494,DKS44-07
36_2,T493,W7876RIB
36_3,T492,SP7715
36_4,T491,DKS44-07
36_5,T490,W7876RIB
36_6,T489,SP7715
37_1,T500,DKS44-07
37_2,T499,W7876RIB
37_3,T498,SP7715
37_4,T497,DKS44-07
37_5,T496,W7876RIB
37_6,T495,SP7715
38_1,T506,DKS44-07
38_2,T505,W7876RIB
38_3,T504,SP7715
38_4,T503,DKS44-07
38_5,T502,W7876RIB
38_6,T501,SP7715
39_1,T512,DKS44-07
39_2,T511,W7876RIB
39_3,T510,SP7715
39_4,T509,DKS44-07
39_5,T508,W7876RIB
39_6,T507,SP7715
40_1,T518,DKS44-07
40_2,T517,W7876RIB
40_3,T516,SP7715
40_4,T515,DKS44-07
40_5,T514,W7876RIB
40_6,T513,SP7715
